name,atlasName,atlasId,cohortId
1_All PCa,[PIONEER] 1_All Pca,1,1
1_All PCa Censored,[PIONEER] 1_All PCa Censored,2,2
2_PCa Treated Right Away broad,[PIONEER] 2_PCa Treated Right Away broad,3,3
3_PCa Conservative Management,[PIONEER] 3_PCa Conservative Management,4,4
4_PCa Treated Post Conservative Management,[PIONEER] 4_PCa Treated Post Conservative Management,5,5
